MK.1 MK.10 MK.11 MK.12 MK.13 MK.14 MK.15 MK.16 MK.17 MK.18 MK.19 MK.20 MK.21 MK.22 MK.23 MK.24 MK.25 MK.26 MK.27 MK.28 MK.29 MK.3 MK.30 MK.31 MK.32 MK.33 MK.34 MK.35 MK.36 MK.37 MK.38 MK.39 MK.4 MK.40 MK.41 MK.42 MK.43 MK.45 MK.46 MK.47 MK.48 MK.49 MK.5 MK.50 MK.51 MK.52 MK.53 MK.54 MK.55 MK.6 MK.7 MK.8 MK.9 MK.A MK.B.0002 MK.B.0003 MK.B.0004 MK.B.0005 MK.B.0007 MK.B.0008 MK.B.0012 MK.B.0019 MK.B.0021 MK.B.0022 MK.B.0024 MK.B.013 MK.B.014 MK.B.016 MK.B.018 MK.B MK.B6A MK.B6C MK.C.002 MK.C.003 MK.C.004 MK.C.005 MK.C.006.A MK.C.006.B MK.C.007 MK.C.008 MK.C.012 MK.C.013 MK.C.014 MK.C.016 MK.C.018 MK.C.019 MK.C.021 MK.C.022 MK.C.024S MK.EOG.001 MK.EOG.004 MK.EOG.005 MK.EOG.009 MK.EOG.012 MK.EOG.015
Total_fragments 32559115 41103327 39640996 29456902 36512879 38956452 38045725 41126467 42562625 37216696 38944381 28226853 24985173 32318390 34008650 30540761 29212925 38355179 36773539 43480179 31998747 30261753 39350808 39471580 37005691 27112789 36249122 37104395 40134711 35232649 11290870 35694289 61476864 30304870 29515739 32270748 32796662 33229839 35592488 30322523 36867573 31480890 38470258 36072920 41797721 34701474 28110530 32121916 37497555 38844464 38116280 33140412 36772212 32893752 31635238 35498598 38270547 42410963 41187949 36133368 35373865 34607427 30966686 35104948 31611776 33780914 37947954 36823503 37904811 39428899 36141694 28861376 35610206 36221435 28199129 38214629 33399891 35990745 35015165 39947667 35418114 32067574 44842520 43355224 41353450 42492899 30889760 29593996 31641221 36673384 44433142 36677226 39743768 39641577 34872357
Mapped_fragments 29882538 37334735 35549582 27286769 33957101 35958917 32512361 35692869 32264416 33827112 36290468 25955897 10418639 29722619 31461336 28397895 26956326 35499598 34252297 40298821 29789988 28076774 36407770 32096105 32965112 15278290 33710162 34656673 36735649 30379289 1657805 33093257 55679144 27222296 27556374 27876484 30103177 29777958 31913778 27472179 34066300 28703008 30350187 33159552 36557792 30021645 25481397 29778045 32860161 35524269 34957287 30385674 34182264 29976657 28985522 32657813 34536406 39047810 37706617 33719766 32475956 31745000 28601335 31852466 28056193 29047085 34283645 33269512 35132533 36552778 33107795 21271310 29420129 65711 4823231 1500185 11368062 2335753 7276800 33272591 169471 2003666 1028239 931243 897674 19680799 654296 3311461 1980904 34282705 41037716 33941111 37007588 36042228 31295651
Uniquely_mapped_fragments 29882538 37334735 35549582 27286769 33957101 35958917 32512361 35692869 32264416 33827112 36290468 25955897 10418639 29722619 31461336 28397895 26956326 35499598 34252297 40298821 29789988 28076774 36407770 32096105 32965112 15278290 33710162 34656673 36735649 30379289 1657805 33093257 55679144 27222296 27556374 27876484 30103177 29777958 31913778 27472179 34066300 28703008 30350187 33159552 36557792 30021645 25481397 29778045 32860161 35524269 34957287 30385674 34182264 29976657 28985522 32657813 34536406 39047810 37706617 33719766 32475956 31745000 28601335 31852466 28056193 29047085 34283645 33269512 35132533 36552778 33107795 21271310 29420129 65711 4823231 1500185 11368062 2335753 7276800 33272591 169471 2003666 1028239 931243 897674 19680799 654296 3311461 1980904 34282705 41037716 33941111 37007588 36042228 31295651
Multi_mapping_fragments 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Unmapped_fragments 2676577 3768592 4091414 2170133 2555778 2997535 5533364 5433598 10298209 3389584 2653913 2270956 14566534 2595771 2547314 2142866 2256599 2855581 2521242 3181358 2208759 2184979 2943038 7375475 4040579 11834499 2538960 2447722 3399062 4853360 9633065 2601032 5797720 3082574 1959365 4394264 2693485 3451881 3678710 2850344 2801273 2777882 8120071 2913368 5239929 4679829 2629133 2343871 4637394 3320195 3158993 2754738 2589948 2917095 2649716 2840785 3734141 3363153 3481332 2413602 2897909 2862427 2365351 3252482 3555583 4733829 3664309 3553991 2772278 2876121 3033899 7590066 6190077 36155724 23375898 36714444 22031829 33654992 27738365 6675076 35248643 30063908 43814281 42423981 40455776 22812100 30235464 26282535 29660317 2390679 3395426 2736115 2736180 3599349 3576706
Properly_paired_fragments 26462130 32461772 31172721 23807265 29815896 31991753 28669643 31754751 28588381 29786999 31935482 22676188 10178263 26283597 27550680 24925444 23501918 31220457 30084700 36127725 26514287 24643027 32055197 28796529 29173895 14779933 29323032 30605910 32537295 26905892 1525617 29448847 49347897 23952074 24331063 24508472 26524995 26662028 28230815 24632886 30241768 25743430 26501532 29515562 32558183 26403012 22406096 26171006 28777178 30894872 30624965 26963492 29778492 26300002 25462074 28900663 30649795 34156102 33251189 29780263 28445966 28095220 25053231 27704054 24614957 25911222 30350084 29036835 30571372 32057296 29251759 19408622 25409338 51228 4292565 1282662 10321316 2075405 6633661 30506072 143330 1774965 886134 823694 754203 17223095 596368 2906411 1739841 30144058 36051420 30178829 32507795 31502807 27607053
Singleton_fragments 867727 826300 756003 521998 759354 955245 984782 892450 1032403 750981 981880 743990 146064 801253 889792 700185 729648 813898 782856 1040236 667196 655844 834142 446380 829377 218347 847883 695622 958309 803563 50275 815903 1725776 748724 748588 717496 768210 802825 944502 765550 887457 794104 710456 940419 1022213 817923 524240 762198 813816 797215 766185 716841 713677 892870 902109 894440 1091983 1012655 1031651 829387 792494 930318 770078 942336 954612 839161 977681 925336 998710 877721 1009056 439938 545574 10171 122348 55746 339079 70907 270261 1111448 16840 93796 80795 54183 83500 746948 29254 187844 129103 927945 1112610 1079083 853441 936720 897747
More_than_one_chr_fragments 209300 331758 416855 291455 380905 330991 252067 340003 260020 247138 396607 241032 9446 259118 279427 286269 283250 386072 336035 398039 351971 298840 297545 166138 233338 22495 312576 325901 270886 293505 4669 282651 506267 257898 302909 230520 272737 219234 238529 218785 293907 236592 266209 252426 342110 207177 227290 437787 282444 389417 322613 302802 313638 297052 142159 243653 197536 299597 392362 192308 314612 263764 220378 291302 219416 199396 312995 387647 320419 416841 303552 158234 133269 124 12006 4767 23102 5262 15186 47611 282 4834 2589 1977 3093 86523 1171 13437 5517 366962 282988 235642 238963 220378 170953
Unexpected_strandness_fragments 14014 19588 21591 12965 16210 16119 24199 21037 19775 13515 17229 15345 3206 15002 17781 14253 15898 17786 15967 19207 15075 13456 14613 11052 12443 5749 19760 15703 15791 14861 684 13039 37326 17900 16646 13792 16106 13735 16796 18508 14408 13106 15241 14775 19288 13207 11366 20839 15217 21266 15930 14509 15054 16315 8562 12604 12276 16213 21543 10595 17094 15891 10918 20739 21471 15447 19122 22335 18011 20076 23039 14809 5756 12 605 310 3083 812 2876 6268 55 509 332 299 299 6801 165 1192 551 17884 15079 19174 11506 15104 13288
Unexpected_template_length 2298918 3665690 3152743 2631372 2955156 2630287 2551403 2651725 2333361 2995241 2915317 2255793 75379 2338732 2694111 2447701 2402882 3030417 3002538 2674271 2214565 2442122 3176546 2640243 2681550 241346 3180031 2984653 2921671 2335140 74361 2504559 4013321 2222382 2134199 2377676 2496200 2051285 2454530 1808713 2596854 1888721 2831462 2405844 2579960 2547781 2291639 2361638 2943496 3395471 3197780 2361719 3335479 2442512 2443383 2577507 2556677 3529900 2976750 2880582 2878380 2413159 2525537 2869055 2222271 2057299 2596042 2873751 3194223 3146918 2490312 1219273 3268812 4091 387225 154001 666010 179694 346414 1562585 8784 126022 57507 50076 55634 1586730 26761 198825 103757 2795712 3541731 2397604 3366589 3339228 2571191
