cell_type,MK-1,MK-10,MK-11,MK-12,MK-13,MK-14,MK-15,MK-16,MK-17,MK-18,MK-19,MK-20,MK-21,MK-22,MK-23,MK-24,MK-25,MK-26,MK-27,MK-28,MK-29,MK-3,MK-30,MK-31,MK-32,MK-33,MK-34,MK-35,MK-36,MK-37,MK-39,MK-4,MK-40,MK-41,MK-42,MK-43,MK-45,MK-46,MK-47,MK-48,MK-49,MK-5,MK-50,MK-51,MK-52,MK-53,MK-54,MK-55,MK-6,MK-7,MK-8,MK-9,MK-A,MK-B-0002,MK-B-0003,MK-B-0004,MK-B-0005,MK-B-0007,MK-B-0008,MK-B-0012,MK-B-0019,MK-B-0021,MK-B-0022,MK-B-0024,MK-B-013,MK-B-014,MK-B-016,MK-B-018,MK-B,MK-B6A,MK-B6C,MK-EOG-001,MK-EOG-004,MK-EOG-005,MK-EOG-009,MK-EOG-012,MK-EOG-015
B cell_TIMER,0.0986283496228868,0.0939254966753441,0.107674507323715,0.0844163113604169,0.0832038073761611,0.0993436851149236,0.16167528089321,0.0995284331358012,0.193823265443954,0.0925071563801238,0.0908447078633829,0.0831821638842019,0.0840117949311357,0.0714206780585699,0.183733773212752,0.0848636594320121,0.0900072815079805,0.0884473638718196,0.09121159308088,0.0950000828098443,0.0821950188150744,0.0893084271079415,0.0751453663652312,0.0811449217840452,0.0915612515406214,0.0834094876735511,0.141206183491722,0.0757587425285457,0.0962022137353242,0.0889772069763226,0.0784393200273875,0.154766348645306,0.124734445578286,0.0819791231245152,0.0823119413640919,0.0915157118120466,0.10554678927937,0.101102808473683,0.0998658663417379,0.0942169249670713,0.178013526767908,0.086860069765059,0.0977132112485747,0.114006781815285,0.0860936661104716,0.0868433346148962,0.110195892996622,0.0915889069962251,0.104896907932827,0.0912563556747217,0.118947460271087,0.0747176914995241,0.0936402266930726,0.0978746709170755,0.0833177602510737,0.0826361482880824,0.0949554317432668,0.0924160208680028,0.0635456130265893,0.0852105979574629,0.11360426105157,0.0808283215667063,0.131989831782751,0.143476439310483,0.107556153756115,0.0985103352429896,0.111558700097965,0.0966580733057393,0.0401875502416014,0.131841164999341,0.0904132891962333,0.106333191679507,0.0951963102523348,0.169276149262886,0.06696832161823,0.0920979038529296,0.0853814913055711
T cell CD4+_TIMER,0.132518673810147,0.097507793479562,0.125998407894257,0.096704804372446,0.0973893988128274,0.148540764400476,0.130693614057513,0.157674166687261,0.193156878233149,0.0961636186286935,0.0823466988582229,0.0968395970116629,0.0830319929150088,0.105429150001255,0.133539165724968,0.0983354502522959,0.129439327774309,0.0920192989988067,0.0921372053774769,0.0911105339419782,0.103008292518298,0.0893485446875079,0.104662255583361,0.0805646378018782,0.0907868792715974,0.0807274677329663,0.131280988940677,0.103856592759803,0.12035230073748,0.127333516093519,0.105252546598308,0.138063751961399,0.130530444852037,0.143056555601299,0.0895465405943396,0.118148141418832,0.202947022579687,0.120097167571563,0.156453004877138,0.107753052846619,0.258787528769149,0.100740792796398,0.0922509385849478,0.138088193482939,0.0940510213741989,0.0995948548104785,0.113477125073433,0.0839728963067041,0.126872404727746,0.095299260893019,0.145455652663533,0.124214273717431,0.10385985670194,0.0920090928113249,0.0977975101282947,0.096504159512839,0.103653120473181,0.101729896650232,0.122544092595925,0.096110811943861,0.123849086876912,0.102287045112092,0.112703738277244,0.105570075054151,0.0849964583863824,0.0955558159094823,0.129413128481426,0.0993597458227477,0.161371812682758,0.184224800891259,0.083914997591371,0.0936583473245201,0.0921676470627259,0.211564913754242,0.126768794401986,0.096160002195408,0.0925767943594908
T cell CD8+_TIMER,0.211141938949891,0.207333753828583,0.22748399195829,0.185107304774333,0.183407290787881,0.213461494542833,0.222473074854551,0.233212277741429,0.325270524456434,0.213051973458443,0.192155481846021,0.186339308681059,0.176595815211338,0.195191493626047,0.295789558557415,0.184622650173214,0.20762627769288,0.186047607544889,0.193862223869247,0.195034782294807,0.181878624872525,0.189301909675419,0.188980955151922,0.18108333501609,0.189069206148111,0.177545244808894,0.446362108922502,0.191214303281254,0.171032475620503,0.193084403728355,0.187888038471668,0.219556924161499,0.221643790847913,0.203008238818933,0.185449108128297,0.199578857776727,0.211729178058587,0.188036093491201,0.1848516695644,0.202556386544936,0.304558062492659,0.178048367783274,0.193455162739672,0.199573143249906,0.184048427858634,0.21889102143,0.200676054010306,0.181108562560406,0.225626622101577,0.194144729635004,0.278052807573271,0.174053602968372,0.20733074996939,0.190510407244701,0.186681048905142,0.194265292350616,0.196778420665742,0.204282262507886,0.190820189306448,0.185886331360378,0.317375639062239,0.187558534403628,0.227217893271228,0.215171230231904,0.221292937209438,0.236832030064439,0.211093640141678,0.203105654693803,0.16745036931533,0.312147163964764,0.182608633550399,0.198057722197661,0.19113549336552,0.386171357556554,0.168288364543099,0.203190314062671,0.195886452489746
Neutrophil_TIMER,0.121286946619084,0.119019358392089,0.143127206271278,0.107271041422802,0.112401904350319,0.155699417649811,0.134085293139703,0.186301487671375,0.160611722021028,0.113246106568702,0.109125313514504,0.113437962193672,0.100693063222405,0.11813915732222,0.138444367239147,0.111006881316343,0.121252276447322,0.114373906172706,0.11452204998695,0.118782293798798,0.117043598266135,0.114504497662151,0.113794461044091,0.103930406301594,0.109306900420115,0.100558895205119,0.133651819479856,0.118402212890852,0.151698599457299,0.14126950360864,0.114133045642494,0.134461899837195,0.175801615555719,0.126535730556158,0.119603705518601,0.129845849403826,0.145404751777599,0.143073657508448,0.136740136986777,0.119405181876245,0.140948125451705,0.134961676980259,0.114356193821767,0.114499884059679,0.106312032353669,0.113619963998337,0.129365196839601,0.110526083631913,0.149402506602667,0.111302943803201,0.126176722178461,0.114330031176403,0.120280365678136,0.114156832605016,0.115267224701568,0.115605213674723,0.116722969170328,0.135584700435904,0.111891593687813,0.112361700862083,0.192862257614456,0.112206378153453,0.138535080556159,0.131581946729154,0.159431705728313,0.122102090744269,0.142344895490059,0.117456723935404,0.216801769866783,0.161230941170423,0.102521367835678,0.115400458823257,0.116238207537203,0.175815434919547,0.106729236952697,0.118026847412648,0.108932729017331
Macrophage_TIMER,0.0799933308419935,0.0339137563400917,0.0289116968692635,0.0521604019610122,0.0603042725674066,0.0390317205136049,0.0366986149296179,0.0138680059956372,0.0288831230059787,0.0559197843762453,0.0438696456656701,0.0484982890614755,0.0183245568629813,0.109359561100145,0,0.0528884541210955,0.0852573591955481,0.0465789577329444,0.0681182036977325,0.064780553966182,0.0682602543761656,0.0682377978436088,0.070684819455879,0.0370764758761004,0.0585564482430414,0.0190399135485872,0.113112264320346,0.0838787574934423,0.00500999228519888,0.0283529921243547,0.090584288093035,0.0409938511176514,0.0103673042681887,0.0972833840629339,0.0283470068029506,0.0248229435785952,0.0370174336779307,0.0255816509701271,0.0273324267280774,0.0536043859431497,0.0244715114849976,0.0294329925516717,0.0575312369408896,0.0566571297862036,0.058630067305439,0.0965783113353231,0.0641080036870709,0.0379108926166054,0.0263099421373334,0.0455480630954574,0.078930570852271,0.0579699665118405,0.0664172781669534,0.0363671819320445,0.0489347060009856,0.0768756150440351,0.0522188421402616,0.0915241865105011,0.0960122616825293,0.0483196453418571,0.0482831737834038,0.0556400293573869,0.0507041690849509,0.0455703364948981,0.064259786461444,0.145213377872462,0.0243484200163326,0.0635373106704881,0.109954947831807,0.0913117243143803,0.0230039428179597,0.0631901181635551,0.0581596143724909,0.0464275529273894,0.0548404604143816,0.0306682917424093,0.0629196230717579
Myeloid dendritic cell_TIMER,0.478225370831374,0.513259086499997,0.543682965854729,0.449681224992144,0.445190558979424,0.550126856941269,0.498457317501548,0.563631014842324,0.658206961715127,0.463945614761359,0.447000553124071,0.447645654308554,0.431672623429519,0.463890311267392,0.796425014834617,0.445130397073105,0.476467042289799,0.45093956962073,0.458713646325166,0.445530146546805,0.44987986822269,0.452975042639232,0.456842894671735,0.439070630483852,0.462376939026852,0.429999266808163,0.685070596090928,0.453897791852002,0.506493940296331,0.490838635097123,0.444525768172377,0.525115934214126,0.576462032009076,0.485354263026539,0.473128756220553,0.487085426625784,0.53935949745602,0.499549302456247,0.518748600864573,0.458022645554546,0.653291559139359,0.483167367646592,0.458375952271342,0.492525235956692,0.447160822068724,0.462087537325919,0.502282520274041,0.441490404240401,0.567916598529355,0.460553196819207,0.595774369415151,0.483630122900125,0.50311478434578,0.461808056964484,0.452104158956971,0.438931202158155,0.482889124425746,0.485362232355865,0.451295468013196,0.447730551245829,0.654032707568129,0.447429334041061,0.528029632558903,0.506973816608125,0.512995311248324,0.486506597396633,0.549364345603272,0.487516344355217,0.557214134585949,0.578720286023472,0.435996803086494,0.45962075274608,0.447347811742637,0.666797905309632,0.443517588304351,0.491285607843804,0.443617547900832
B cell naive_CIBERSORT,0,0,0.000189972551801049,0,0,0.00153462642939242,0.043982571802953,0.0217321487275306,0.0497412471043816,0.00300021079647822,0.168885890300875,0,0,0,0.0116956908378407,0,0,0,0,0.0611489129192175,0,0,0.00327806091071286,0,0,0,0.00859765638214672,0.131411885587801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028893273168579,0,0.000515515838998938,0,0,0.00587244910399436,0,0,0,0,0,0,0,0,0,0,0.002718368737908,0,0,0.0128369583877973,0,0,0,0.0110805142377,0,0,0,0,0.0343947629317454,0,0,0,0.0224322074860184,0.00909426169120445,0.00589423935437591,0
B cell memory_CIBERSORT,0,0,0,0,0.0203844728816475,0,0.0394880100738774,0,0,0,0,0,0.0915344910772799,0.00859251375086048,0,0.0406941507447899,0,0.0245897935936644,0.00795585244252419,0,0.0875017141660338,0.0464656920082949,0,0,0,0.165046300581969,0,0,0.0238337777059063,0,0,0.0220114110521191,0,0,0,0.0657690415028054,0.036538140934736,0.0825548491344096,0,0.0232397836117687,0.0328851903001784,0,0.049656441164873,0.087191435182513,0,0,0.00299172998137485,0.00680803007021445,0,0,0.0213051995052632,0,0.0118913065680903,0.0514604803549764,0.0381336566124299,0.00706626855144086,0.00815304435214208,0.00145426718637065,0.00634817334510449,0,0,0,0,0,0,0,0.111388792125284,0,0,0,0.00801134569663367,0.0694785906093833,0.021372147730675,0.0153935661257055,0,0,0
B cell plasma_CIBERSORT,0.0593483215742784,0.00798812185870915,0.0297180304869463,0.0491164531120222,0.0336322178173463,0.00513684486221036,0.282094741704466,0.0926842417056542,0.0752637258390111,0.021818462394169,0.249709096701937,0.0868018894225783,0.0250134516291944,0.0259637809537632,0.0126483688393869,0.0431569081516023,0.0251148049629957,0.0145735538921764,0.00225135736362591,0.319587078413404,0.0345438189920387,0.0186223714406725,0.00638255821320581,0.00360001358223352,0.00619352961062453,0.0973569140018898,0.00616873541106552,0.127851926632828,0.014015048707521,0.00814126819036275,0.00302809453038427,0.392141610359093,0.0795010248012273,0.0434618152157744,0.0312136801912356,0.0234896988591677,0.035589227789963,0.13997879226092,0.213972395512962,0.0387320444867456,0.00205231090599003,0.29611711021875,0.25103208452046,0.0221933378899731,0.025452468590166,0.0366099213322724,0.333066318576739,0.040638231544099,0.00777836515118909,0.0101462132063026,0.0161932930890304,0.0198541351665189,0.0426922274829377,0.0154848560756131,0.00509549178899105,0.0930296023583403,0.0120179679301768,0.22629260953245,0.0150296999692629,0.0451579972246633,0.040638243034968,0.0271334946365214,0.314176027949835,0.352088572912508,0.168605699707507,0.0830252162552926,0.124148455675118,0.00857288453425578,0.000990910796304259,0.154801835134983,0.623183370958277,0.0513382514280731,0.0612051535393271,0.0685104548782446,0.00822213438297631,0.0119029215490709,0.0573035893442738
T cell CD8+_CIBERSORT,0.0283405753682632,0.0500436592488245,0.0949659923803244,0.0184596328735339,0,0.0601608250506711,0.0102740497914152,0.100594354913171,0.1167255378101,0.130511890249673,0.0277825011242908,0.078846515453362,0.242705582343212,0,0.092221293348822,0,0.0307102797434071,0,0,0,0,0,0,0.0191128840080249,0.0194365124340556,0.0945804368794207,0.271377602343621,0.0528507680904537,0.0181451807443634,0.0019283013270663,0.0478799151145564,0.0512792883859674,0.10987953727925,0.0183108203883937,0,0.167743098347297,0.0698981389394173,0.0893552106995393,0.00561887102806988,0.0848957539826095,0.136599057165616,0.00232603080017297,0.0175330073083578,0.11449785279021,0.116825964819861,0.042040257442593,0.0517967471007046,0,0.0720804656125871,0,0.0955214545267233,0.0126111150526375,0.0188059594006104,0.0604034281234255,0,0.0372650909132374,0.0440051245364064,0.0376245271253215,0.135188842645891,0.0597666227142827,0.146546244957352,0.12540943182288,0.0356080732655799,0,0,0.0785976092672529,0.0214138343550513,0.029486227518224,0,0.111896247268908,0.0535444193682608,0.188403304604974,0.0807216746190731,0.144376834288952,0.0371927286349453,0.0903118006652655,0.11434454481548
