	MK.1	MK.10	MK.11	MK.12	MK.13	MK.14	MK.15	MK.16	MK.17	MK.18	MK.19	MK.20	MK.21	MK.22	MK.23	MK.24	MK.25	MK.26	MK.27	MK.28	MK.29	MK.3	MK.30	MK.31	MK.32	MK.33	MK.34	MK.35	MK.36	MK.37	MK.39	MK.4	MK.40	MK.41	MK.42	MK.43	MK.45	MK.46	MK.47	MK.48	MK.49	MK.5	MK.50	MK.51	MK.52	MK.53	MK.54	MK.55	MK.6	MK.7	MK.8	MK.9	MK.A	MK.B.0002	MK.B.0003	MK.B.0004	MK.B.0005	MK.B.0007	MK.B.0008	MK.B.0012	MK.B.0019	MK.B.0021	MK.B.0022	MK.B.0024	MK.B.013	MK.B.014	MK.B.016	MK.B.018	MK.B	MK.B6A	MK.B6C	MK.EOG.001	MK.EOG.004	MK.EOG.005	MK.EOG.009	MK.EOG.012	MK.EOG.015
Adipocytes	1049.58274668602	1304.83234166372	682.601184707964	2776.24471265004	3255.10041932582	2986.18792294653	773.06103487962	22.579427640522	344.30796389467	912.309796756658	1336.76167084495	1962.7149873383	1179.34869130617	4395.75984010684	455.698960630043	3817.70886868641	2387.35166963682	967.636449206472	777.950481948169	2474.54297609583	2491.70945405315	1283.26829962936	2997.30828102835	1351.92752386029	1176.49334505934	2268.78644266179	3123.18883657402	2869.82786099607	679.222262649623	465.284352815402	4577.34532193109	2262.35256925099	216.595689416957	2857.99464502697	592.328713131356	2502.75336812305	334.80536338411	500.299307707604	1550.84329806699	2727.11655587016	3371.15101080413	329.563236207389	1717.02096973557	2307.26575620363	2196.05662744422	2223.92580206018	1023.37536724304	984.951994664642	275.667575156638	2330.08848880955	1183.69070132059	4353.24203464655	2633.33872776867	1310.56950697404	3553.64845436322	2237.94364858829	1753.03475922564	929.137123286749	4399.60223415151	3156.16829454645	177.425274779654	2331.22843314465	1740.20431123724	341.790812243713	734.914629180482	1457.50874693826	2420.47092875332	2466.89670388257	3667.28985616416	2850.87003243651	1558.87231653031	960.641295627375	2222.70958300378	295.889807553805	4864.78821361709	439.312644864784	5076.00424492221
Astrocytes	1592.71713249991	795.053091258591	766.608733514478	1365.98457142532	1286.280597346	1210.11988245189	1206.84539105527	839.049041011274	777.623229814387	457.482834189783	658.053143268524	1199.18735919874	1213.18571407789	1791.72505753519	512.492727361443	1101.37180381731	1351.32287862629	886.596585126459	1373.51874357673	976.570034864339	1493.24935161259	1099.54772529964	1720.34897056515	496.726209616216	794.246772251133	1332.1848542347	1262.97376402285	2140.96102189981	987.153564736754	767.132302594203	1625.84759293906	1123.09409864965	563.297918308932	1384.25143172386	878.091800361739	640.371907672223	688.269000571285	725.292071486746	1269.83978756901	914.450228807223	839.443346369852	933.175957034642	1203.47196365364	1120.24394059417	1061.37974006825	1537.93693416264	1438.20313569442	401.710858022916	383.784760057953	1002.13097569289	1216.48586386046	1626.58249473349	1043.42707975296	234.14005964183	1211.43711959478	1163.0707291715	916.990844584025	1425.62995413143	1612.80888047656	824.133133623992	594.206780927984	1170.98209351725	1275.8698339608	1249.00307711308	1473.41004459303	1227.14480792616	1037.58512750621	1106.61635340643	1503.82271400947	1134.36698451871	598.497985901238	178.701845339862	731.042223774766	1189.62984364123	1788.94646024434	564.143326257425	1271.58632303518
B-cells	682.522404188643	728.735907847401	815.813418034571	660.487051853849	690.181038248449	921.000501697959	2154.89565274693	1289.27566112124	1747.28621922207	721.747610899836	645.365766255273	617.313996225095	1958.06262612145	671.999793636957	1186.69108797329	607.001815760041	867.33978842127	677.909851016707	686.154764842549	668.422424434484	830.369508227575	680.203627365235	739.044819977677	534.371310250907	561.975928816878	184.453821770017	1159.99933808658	653.092326843714	479.30350558701	810.758386751445	634.37872811168	1608.38347380947	1030.20553602718	851.509091160567	484.616301423719	889.75095411848	1115.3471162728	713.601631146457	781.388929305137	705.135811425086	1468.17588234549	550.644807810604	528.56335440161	968.891656334704	438.275873535794	769.501143291989	864.805647347841	626.127857948366	861.977270039018	755.3153635974	1105.59865867874	734.554544913169	836.117492328273	739.096409423813	688.316632892613	490.54083957351	817.910898767037	704.288344509379	651.248483923148	790.949712321958	1253.52870261549	708.354943383406	1027.00922060499	1529.40784134853	1231.69460660459	771.900809150902	1021.09999908382	853.039080744117	957.259845666255	1551.03331160719	1844.10531817084	797.557485599852	581.315295877762	2023.78822054699	512.444439023837	585.381873156952	579.142654310126
Basophils	339.299836494519	664.682244463714	496.17890794378	715.735227681518	738.030111901524	638.980343506866	778.845828910542	473.86470243119	587.724666726997	589.74901433859	609.453419060045	673.99329349383	1486.75940595586	518.626317104084	608.435869486222	844.225362173804	654.335895568426	653.184408179015	714.685439501718	496.868949503021	768.922581172579	538.076524567059	597.916944745348	433.950277599983	573.128413834546	758.376106943777	549.371132764994	472.391136400876	490.985796718147	465.240227778695	518.039219494272	510.132315051838	718.876022615863	756.393285591609	498.138498213348	773.766969172658	581.587398516921	394.934524740755	616.630634641896	715.301125416143	471.651820690459	370.183010608729	606.931380444925	561.784385437631	546.684554225144	424.772531642064	499.465966144267	753.764204344857	726.204532961514	715.361897133473	509.013918447832	592.572568114577	522.333256672541	762.924296601648	529.351631535828	275.227227182226	718.748001388785	736.587244371733	612.736070999033	752.684232682855	663.146837065846	626.768815716424	648.336605821574	596.246572394909	1139.77437936273	390.337850920745	514.211970383165	659.461566392074	983.504147017084	674.412691732224	560.514025709447	696.63445826028	718.707067261341	799.284725781216	731.539453803436	704.793463524559	452.339373191846
CD4+ T-cells	584.016411433313	376.172528398984	727.196858836922	506.342966906953	468.753660878322	693.955057108538	984.33903098022	1160.26237493977	1794.18406869164	589.739679603924	412.61940988666	462.203894599504	1387.7277352715	443.26131758749	1283.53143378819	546.651500876224	488.552897146848	380.50768151699	379.222522373351	382.43689092886	589.280780850548	407.701877043493	535.720836074565	282.465253139372	284.101144052704	162.696287123107	1430.85311673234	466.751682299078	368.974853868603	507.578121751785	443.235466479858	1070.61892012023	825.802610074204	512.196243325202	307.126680584514	498.684135127918	1036.96531423658	399.294146544321	633.202187840266	422.347504204196	1718.67215337445	207.86407633362	387.143966418803	693.36020151018	468.871995802566	466.796813607701	380.103649199538	382.497461038409	721.179224719631	366.24770922059	963.843769553192	496.181536952022	364.686203225171	368.264571938633	391.217403946284	380.096998438164	346.931867382227	327.200947216556	572.633506086372	439.76743893492	861.702774930463	424.101678767396	571.918129747055	633.066563928269	790.619084705617	391.720466234926	754.738797576257	366.244013446321	424.057349890098	1293.47390896834	849.444089864034	448.221026936204	374.227763560976	1795.81487270345	697.171914640881	458.079980966534	340.334381413393
CD4+ Tcm	530.864400428366	299.293546652896	450.849824593412	331.539499035443	485.794827787739	638.116918523928	578.670213244949	772.365918839088	1382.71835160322	492.60589815501	437.399892418851	463.05616682527	1471.25545051284	419.314614251987	904.242746460183	522.919698744789	432.766311170108	376.981053716781	304.007553044248	305.784398830888	444.656348260084	354.429287772329	433.128905224588	293.951187372316	405.025065775181	771.969466760636	844.590165981501	361.999242662879	467.417340808409	487.264160184888	527.217179322044	723.85859127436	605.630594229213	410.571287248466	508.465678913099	566.683724996646	918.620850960198	485.702954496664	610.786869022249	285.963781378549	1282.61010558192	295.176391081555	573.540708252226	624.152687985015	707.61832362094	350.638237634819	275.625198762279	574.955557489587	485.33249186642	384.099454761623	675.510389958093	356.907889644046	468.930445253216	265.709581813081	459.916234432154	278.349557787095	400.732869825587	381.154857662407	286.072704738589	370.47861603166	478.089969201065	215.995753376925	406.609965016949	384.966959137396	572.93534288429	221.846839003563	559.789023959431	297.120259346309	110.271388266854	924.420214339731	384.94394418698	261.094113278951	297.796388702234	1256.37362607614	360.80241664332	563.915539012668	213.265212863229
CD4+ Tem	473.589832243969	539.378758564024	607.089101474398	153.950677889669	281.64363841763	508.614150359627	1028.72855015055	986.922553570891	1581.42846265379	673.503704592181	414.909185206928	385.494110456879	1599.85720796197	178.539966412153	1155.21528953528	306.54473116963	556.221550464192	337.508331308031	343.97248422771	247.688246263221	259.925285899378	316.604992868022	193.699447292743	423.83866204008	419.933104062165	910.252862005111	1185.20163324962	225.97000419464	544.183947775464	599.674306496789	272.380133180562	1074.92248290076	784.319017368638	406.571161586927	533.114538971915	484.33655869466	949.604849123269	596.596599432162	601.61399721901	335.815416209515	1291.51531817986	387.205910252272	426.361661420654	589.278827247488	545.493377223316	266.040488316565	355.152001438821	524.979800946141	700.264412115694	327.58228426783	785.865190912568	170.936895143978	366.717246174241	487.438253749493	307.865640688015	281.046798469126	405.025776797739	456.874243009541	174.040842422929	230.905814837944	754.088019464397	239.140590078501	673.473090938026	902.987657565084	1153.967056337	341.86591652333	764.268759570567	316.296945844262	438.545226416754	1084.66734049475	1421.27229484463	532.102143769569	372.125274099721	1523.74458056192	269.058366659034	643.400656037771	378.163032432175
CD4+ memory T-cells	829.576772511141	866.909936271719	1076.39324713398	591.194085067232	515.439984965764	873.773028030309	1086.138761016	1581.07112988488	1975.53094320133	878.887829925363	538.338701866319	546.005600142519	1341.73536936427	468.929504106763	1417.47681771505	545.37912183125	600.378106753449	641.655084417294	603.3933014723	574.562446437904	626.743304657532	553.460649627041	536.73768751153	521.409495140499	335.260503227776	121.8663154044	1727.58718354645	558.617265975649	519.989093884041	853.988221889585	390.691256730546	1247.66818462764	1134.23767250154	586.962464573344	518.338851962437	729.430239035682	1188.5369912372	635.392196103106	830.713297929653	563.293213935336	1713.061616244	609.405921496962	396.372614273957	621.29230189363	242.159105958422	591.886078108244	619.487555666283	588.060944450362	1024.62987504008	620.147379449275	1282.2123354421	486.698871359162	562.675522579935	609.87298459357	508.269736909681	488.842173893084	608.626830747829	474.743575748694	442.344717234929	592.334174644285	1154.69493367971	528.057102694622	822.194230481269	916.198619735947	1018.86689808417	672.128411750248	1016.44164979761	609.783479051066	510.661254940221	1371.45571301674	1203.8716061004	898.227231463563	483.703645947403	1855.137151891	490.513233364302	724.305579580811	536.361107467276
CD4+ naive T-cells	853.954043913663	406.711043236696	884.636031422528	505.994784911643	433.709283968712	826.000635121788	1359.92682694513	1318.46901450373	2001.71468995041	781.061040822697	456.053964156202	475.27003450076	1670.40240911164	886.513392481243	1455.42001596452	456.359732349219	624.429111779943	396.533028621436	652.062875263609	524.186984310285	580.509330000102	568.220207203811	577.048830206867	546.562163898562	557.303191396311	257.040985565774	1558.90093789797	637.089483349947	506.071965330724	844.069122248108	745.889777493742	1241.56294646032	853.007825360661	738.789799721044	480.600675388392	577.241866229145	1319.11079143883	597.962146777693	900.951766553685	519.985865950577	2081.84710558976	449.620829884013	589.866953873446	1114.30300006105	600.68402293802	868.895750886184	610.595747287948	287.070406318179	843.644867538836	494.483610871534	1311.57550451518	783.364615975272	738.577018435786	372.848243989851	502.545759646265	750.652510863009	382.632629749165	692.501034025327	735.633044319813	451.433121642171	1066.20677765999	511.509244804259	769.534039481967	932.082318498236	1130.03116565969	826.009832162063	981.185213814818	450.340645195032	810.72736483531	1552.15750182221	1147.62644931757	470.732321363565	388.606669181875	2000.73110831434	834.616335662205	612.837267051101	554.614549472089
CD8+ T-cells	723.075454216815	451.51274039955	1059.51484289588	693.432990875736	634.224015964241	959.446819924291	859.488551755851	1292.98810275957	1883.25192835134	1005.93363179346	494.752395511298	671.265763858562	1256.741430423	1089.48235511246	1439.32435915664	680.318467811379	650.902154720939	496.469524608131	577.059999355617	616.353237514073	793.589709080676	853.258003234625	693.56886756477	501.759387477084	725.009043976029	181.1288896246	1514.04967170354	809.015183717559	726.590407375527	973.090559352054	1014.04822793664	1232.46193851153	782.095834290378	769.204266404088	874.919545758573	834.439944951531	968.036335637359	680.557634722238	674.72214884556	655.486635551133	1834.30757003464	550.035165362238	560.140555444372	969.556324653248	885.678582256825	1011.52579754239	673.926617384331	377.230952791818	853.559573448068	787.262183801631	1247.3339426329	985.935111657172	946.423890484927	511.820799747348	970.612272423494	905.356927092091	554.091763366737	591.46874187765	745.573677250761	774.275359401779	1050.96926439727	682.035446435364	876.85278882714	689.155571228827	639.054319285732	863.415930636896	1047.52685804079	591.876986988202	805.578923393326	1323.64312365032	933.617438594352	508.841522737397	421.257110534428	1723.51984054244	882.834530628337	742.590745084226	444.073154571093
