Total Number of Aligned Reads:	338830	Total Number of Mapped Genomes:	9944
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1969841|org|Proteus_phage_VB_PmiS-Isfahan|accession|NC_041925.1	0.46416820675341214	0.5109671516689785	173131.0	0.5109671516689785	0.0	0.46416820675341214	0.5109638034020471	173129.8655067156	0.5109258330136056	7.083198063925863e-05
ti|365659|org|Streptococcus_mitis_B6|accession|NC_013853.1	0.20254807325389018	0.1464097039813476	49608.0	0.14640675264882094	2.951332526635776e-06	0.0781812699231256	0.06786306181446222	22994.041234594235	0.05050910486084467	0.07291562140306349
ti|680646|org|Rothia_mucilaginosa_DY-18|accession|NC_013715.1	0.0922445181577953	0.07221910692677744	24470.0	0.07221910692677744	0.0	0.07352480289158948	0.062115238548695995	21046.506277454664	0.057701502228256055	0.011890918749815542
ti|171101|org|Streptococcus_pneumoniae_R6|accession|NC_003098.1	0.02842618193859945	0.021538824779387893	7298.0	0.021521116784228078	1.7707995159814656e-05	0.04969248035331087	0.03743511781452201	12684.140969094493	0.01980048992119942	0.07515863412330667
ti|1161202|org|Porphyrobacter_colymbi|accession|NZ_MUYK01000052.1	0.017831345837521995	0.019304666056724613	6541.0	0.019304666056724613	0.0	0.017831429779902777	0.01930761738925125	6542.0	0.01930761738925125	0.0
ti|1304|org|Streptococcus_salivarius|accession|NZ_CP009913.1	0.017786859524038415	0.011474780863559898	3888.0	0.011454121535873447	2.0659327686450433e-05	0.007541731048945656	0.004440776381703599	1504.6682614126303	0.0018357288315674527	0.019154148097866187
ti|546270|org|Gemella_haemolysans_ATCC_10379|accession|NZ_ACDZ02000011.1	0.017767825262999786	0.013502346309358676	4575.0	0.01349939497683204	2.951332526635776e-06	0.0036529276924119193	0.002676155491354114	906.7617651355145	6.788064811262285e-05	0.012755659180119824
ti|479436|org|Veillonella_parvula_DSM_2008|accession|NC_013520.1	0.011348740772215784	0.011684325472951037	3959.0	0.011684325472951037	0.0	0.00963076255889567	0.010423338675749294	3531.739843504133	0.009978455272555559	0.0015642062391169613
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000013.1	0.010710846120586572	0.012008972050880973	4069.0	0.012008972050880973	0.0	0.006735854049523032	0.007836052075464554	2655.089524729655	0.010430009149130833	0.00036301390077620046
ti|1197720|org|Microbacterium_barkeri_2011-R4|accession|NZ_AKVP01000090.1	0.010512609276671896	0.015311513148186406	5188.0	0.015311513148186406	0.0	0.008428101506600274	0.012721987159020487	4310.590909090912	0.013278045037334357	0.0006020718354336983
