Total Number of Aligned Reads:	266556	Total Number of Mapped Genomes:	9856
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1969841|org|Proteus_phage_VB_PmiS-Isfahan|accession|NC_041925.1	0.44248073683113737	0.4430588694308138	118100.0	0.4430588694308138	0.0	0.44248073683113737	0.44312473139573877	118117.55590192255	0.44302885697564487	0.00018382628790948244
ti|365659|org|Streptococcus_mitis_B6|accession|NC_013853.1	0.15919554899355295	0.09515448911298188	25364.0	0.09515448911298188	0.0	0.0669725395304207	0.046065599206154745	12279.061861995784	0.035129578775191704	0.047483455634088144
ti|1316932|org|Mannheimia_haemolytica_M42548|accession|NC_021082.1	0.10057126584542862	0.07781854469604886	20743.0	0.07778478068398385	3.376401206500698e-05	0.02548158141856982	0.01853679801342663	4941.09473126695	0.002476027551433845	0.060009904110205736
ti|1161202|org|Porphyrobacter_colymbi|accession|NZ_MUYK01000052.1	0.03854806559183569	0.03331382523747355	8880.0	0.03331382523747355	0.0	0.03855152115968834	0.03331570101592161	8880.5	0.03331757679436966	0.0
ti|546270|org|Gemella_haemolysans_ATCC_10379|accession|NZ_ACDZ02000008.1	0.035089828956693415	0.019425561608067347	5178.0	0.019421810051171235	3.7515568961118864e-06	0.007447863438124654	0.004117517291418273	1097.5489391312892	0.0002175902999744894	0.018592715977130508
ti|743972|org|Actinobacillus_suis_ATCC_33415|accession|NZ_CP009159.1	0.028102026970419667	0.03551223757859512	9466.0	0.03508456009243836	0.00042767748615675505	0.02293954159075715	0.01846043478220518	4920.739653805484	0.008613574633472891	0.0495843274959108
ti|171101|org|Streptococcus_pneumoniae_R6|accession|NC_003098.1	0.021825130085970916	0.012413901769234232	3309.0	0.012413901769234232	0.0	0.03941843153804218	0.02511042502479788	6693.334452910024	0.013576884407028917	0.049730638214859166
ti|71421|org|Haemophilus_influenzae_Rd_KW20|accession|NC_000907.1	0.012858466079233126	0.016221732018787797	4324.0	0.016146700880865558	7.503113792223772e-05	0.007100268008327975	0.0064403051257785485	1716.7019731070268	0.0037290475547352153	0.017474752022089167
ti|494023|org|Paeniglutamicibacter_antarcticus|accession|NZ_CZJT01000051.1	0.009676035764685842	0.02481654886778013	6615.0	0.02481654886778013	0.0	0.004728758223706943	0.012712463172216446	3388.583333333327	0.010796980747010009	0.010365551703957141
ti|1197720|org|Microbacterium_barkeri_2011-R4|accession|NZ_AKVP01000090.1	0.007621494967543382	0.009210072179954681	2455.0	0.009210072179954681	0.0	0.006266396487250246	0.007716327275819452	2056.83333333333	0.008002070859406653	0.00031888233616951035
ti|1035839|org|Haemophilus_sputorum_CCUG_13788|accession|NZ_AFNK01000005.1	0.006361490644252912	0.013768213808730624	3670.0	0.013625654646678372	0.0001425591620522517	0.0070722906508908666	0.014317298024579662	3816.3616922398564	0.010830744759075016	0.010429328171191044
ti|1304|org|Streptococcus_salivarius|accession|NZ_CP009913.1	0.006300155247407598	0.004164228154684194	1110.0	0.00415672504089197	7.503113792223773e-06	0.0035467753378244163	0.0016733476321281902	446.0408514295619	0.0003789072465073005	0.010192980086735996
ti|1392250|org|Aspergillus_steynii_IBT_23096|accession|NW_020194414.1	0.006206081563460519	0.0063926529509746545	1704.0	0.005563558876933928	0.000829094074040727	0.0005503071165707859	0.0004059240640639918	108.2014948206414	0.0	0.005784900733804529
ti|398843|org|Rhodococcus_kyotonensis|accession|NZ_LVHI01000035.1	0.005413242650309668	0.004374315340866459	1166.0	0.004374315340866459	0.0	0.0028101537138358165	0.0023984953755808664	639.3333333333334	0.0039691471960863756	0.0003789072465073005
ti|233412|org|[Haemophilus]_ducreyi_35000HP|accession|NC_002940.2	0.0053383574746825955	0.015486426867149867	4128.0	0.015347619261993727	0.00013880760515613979	0.008324801313182808	0.02039396929954184	5436.134880608675	0.013231741172586624	0.025930761265925358
ti|1392250|org|Aspergillus_steynii_IBT_23096|accession|NW_020194412.1	0.005025138753633705	0.0036202524047479704	965.0	0.003365146535812362	0.0002551058689356083	0.0005014292084969631	0.0003915627176180315	104.373391757392	0.0	0.005623583787271718
ti|1177179|org|Alcanivorax_hongdengensis_A-11-3|accession|NZ_AMRJ01000061.1	0.00481879190067816	0.010144209847086541	2704.0	0.010129203619502094	1.5006227584447546e-05	0.004482100919407922	0.010550878614625055	2812.3999999999965	0.009521451402331968	0.009266345533396359
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000013.1	0.004600793735108561	0.005045844025270487	1345.0	0.005045844025270487	0.0	0.003709041834450035	0.0035389785445170277	943.3359649122808	0.004794489713230991	0.0001125467068833566
ti|888742|org|Neisseria_bacilliformis_ATCC_BAA-1200|accession|NZ_GL878495.1	0.004526603917526067	0.0066815228319752696	1781.0	0.006670268161286934	1.125467068833566e-05	0.0012864815943138441	0.0016571320812490773	441.71849904942906	0.0007315535947418179	0.0036240039616440823
ti|1035839|org|Haemophilus_sputorum_CCUG_13788|accession|NZ_AFNK01000029.1	0.004449522437969851	0.012383889314065337	3301.0	0.012380137757169226	3.7515568961118864e-06	0.00826529135112609	0.019772343119217224	5270.436692486066	0.012972883746754904	0.02330842299554315
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000014.1	0.0044046009579522495	0.004914539533906572	1310.0	0.004914539533906572	0.0	0.004137057297906279	0.004591280381358238	1223.8333333333264	0.004741967916685424	0.0003826588034034124
ti|41047|org|Aspergillus_thermomutatus|accession|NW_020798475.1	0.004290244035970263	0.00409670013055418	1092.0	0.0035827368357868516	0.0005139632947673285	0.0005266851330009527	0.00045991579110117933	122.59331361276595	0.0	0.0055185401941805845
ti|1392248|org|Aspergillus_campestris_IBT_28561|accession|NW_020194357.1	0.004276204603100759	0.003372649649604586	899.0	0.0032450967151367817	0.00012755293446780415	0.0005989903137191547	0.0004883200165282537	130.1646303257052	0.0	0.004629421209802068
ti|28091|org|Neisseria_weaveri|accession|NZ_LT571436.1	0.0038778362303623108	0.003991656537463047	1064.0	0.003991656537463047	0.0	0.001199998484195301	0.0018964474176019009	505.5094378462923	0.001159231080898573	0.004449346478788697
ti|399739|org|Pseudomonas_mendocina_ymp|accession|NC_009439.1	0.003580419193666535	0.0022359279100826845	596.0	0.0022359279100826845	0.0	0.0012555792803440487	0.0009320954993522793	248.45564792534617	0.0006190068878584613	0.0013318026981197198
ti|1510458|org|Pseudoruegeria_sabulilitoris|accession|NZ_LOAS01000096.1	0.003391761185628707	0.0017594801842764748	469.0	0.0016806974894581252	7.878269481834962e-05	0.001647191618854858	0.0014674209675761152	391.14986343321897	0.0024235057548882785	0.001688200603250349
ti|425011|org|Aspergillus_niger_CBS_513.88|accession|NT_166520.1	0.0032921374675163426	0.002457269766953286	655.0	0.002438511982472726	1.875778448055943e-05	0.0005135894521420406	0.0005043774256909164	134.44482908246792	1.125467068833566e-05	0.005653596242440613
ti|267747|org|Cutibacterium_acnes_KPA171202|accession|NC_006085.1	0.0031983988404336782	0.0017707348549648105	472.0	0.0017707348549648105	0.0	0.0023076053842914094	0.001440009257977399	383.84310776942357	0.001320548027431384	0.00037140413271507676
ti|198214|org|Shigella_flexneri_2a_str._301|accession|NC_004337.2	0.0027163827969288235	0.0015906601239514399	424.0	0.001553144554990321	3.751556896111886e-05	0.0004722601840047991	0.0002944665606491578	78.49182854039691	6.752802413001395e-05	0.0018044988670298174
ti|747|org|Pasteurella_multocida|accession|NZ_CP008918.1	0.0027048992280410225	0.01063941535737331	2836.0	0.010631912243581086	7.503113792223773e-06	0.006223880214767492	0.0082988451713973	2212.1069735069786	0.001917045573913174	0.03484070889419109
ti|479436|org|Veillonella_parvula_DSM_2008|accession|NC_013520.1	0.0025518474142933174	0.002250934137667132	600.0	0.002250934137667132	0.0	0.0021017994782280107	0.001889324643736472	503.61081973581906	0.0018345113221987124	0.00031513077927339847
ti|388919|org|Streptococcus_sanguinis_SK36|accession|NC_009009.1	0.0022605856225894156	0.001553144554990321	414.0	0.0015456414411980973	7.503113792223773e-06	0.005632394750915432	0.00266954225013322	711.5825040265106	0.0006040006602740137	0.015321358363720944
ti|538381|org|Stappia_indica|accession|NZ_MBQE01000017.1	0.0019025718761615923	0.0016206725791203349	432.0	0.0016206725791203349	0.0	0.0023677525807068245	0.0020671078497576482	550.9999999999997	0.002025840723900419	0.00034514323444229355
ti|467705|org|Streptococcus_gordonii_str._Challis_substr._CH1|accession|NC_009785.1	0.001830747433532165	0.0009791563498852023	261.0	0.0009791563498852023	0.0	0.006314844522519366	0.002725675424736986	726.545138516192	0.00034514323444229355	0.01718213058419244
ti|638300|org|Cardiobacterium_hominis_ATCC_15826|accession|NZ_GG694026.1	0.0016722585958180395	0.0010204234757424332	272.0	0.0010204234757424332	0.0	0.001379406514908873	0.0008998400726896363	239.85777041585868	0.0008703611998979576	0.00015381383274058736
ti|1122936|org|Rodentibacter_pneumotropicus_DSM_21403|accession|NZ_KB904051.1	0.0016338390575194861	0.0022734434790438033	606.0	0.0022696919221476914	3.7515568961118864e-06	0.0020426931372597404	0.0035150157025706213	936.9485256144145	0.0021871576704332297	0.007172976785365927
ti|1236504|org|Prevotella_histicola_JCM_15637_=_DNF00424|accession|NZ_BAJX01000041.1	0.001346957351154157	0.0009979141343657617	266.0	0.0009979141343657617	0.0	0.0010174320497998977	0.0007610598874723492	202.8650793650795	0.0006902864688845871	0.00020633562928615377
ti|398843|org|Rhodococcus_kyotonensis|accession|NZ_LVHI01000036.1	0.0012814691041171332	0.001455604075691412	388.0	0.001455604075691412	0.0	0.0018730650088863558	0.002183406113537118	582.0	0.0024235057548882785	0.0
ti|760570|org|Streptococcus_parasanguinis_ATCC_15912|accession|NC_015678.1	0.0010269108944293195	0.0007503113792223773	200.0	0.0007503113792223773	0.0	0.007043560564665392	0.0034258583799504513	913.1831063260724	0.0005402241930401116	0.01610918531190444
ti|58627|org|Debaryomyces_fabryi|accession|NW_015385825.1	0.0009567710251844908	0.003406413661669593	908.0	0.003406413661669593	0.0	0.001229107102488386	0.0038204364426621734	1018.3602564102583	0.004002911208151383	0.00042767748615675505
