Total Number of Aligned Reads:	2133744	Total Number of Mapped Genomes:	9216
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1969841|org|Proteus_phage_VB_PmiS-Isfahan|accession|NC_041925.1	0.9660899844785209	0.9643242113393172	2057621.0	0.9643242113393172	0.0	0.9660899844784072	0.9642011126956932	2057358.3390077592	0.9641433086630824	0.00013450535771863918
ti|398843|org|Rhodococcus_kyotonensis|accession|NZ_LVHI01000035.1	0.008031043314506808	0.00675479345226044	14413.0	0.00675479345226044	0.0	0.004202174198337293	0.0037821969270914937	8070.2399999999125	0.006312847276899197	0.00039179957858112314
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000014.1	0.00423302999699481	0.005444889358798432	11618.0	0.005444889358798432	0.0	0.0039061545719503397	0.004936604391154923	10533.45000000047	0.005176347303144145	0.00040211009380694215
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000013.1	0.002827946238257221	0.0027941496261969572	5962.0	0.0027941496261969572	0.0	0.0016894420888985044	0.001747653625211398	3729.045436873069	0.002442186129170135	7.732886419364273e-05
ti|1197720|org|Microbacterium_barkeri_2011-R4|accession|NZ_AKVP01000090.1	0.002401103255417616	0.0033270157994586044	7099.0	0.0033270157994586044	0.0	0.0019550026229578697	0.0027593779243168357	5887.8060897435025	0.0027852450903201134	0.0002151148403932243
ti|399739|org|Pseudomonas_mendocina_ymp|accession|NC_009439.1	0.0015458875075150895	0.0009757496681888736	2082.0	0.0009757496681888736	0.0	0.000505314513885438	0.00040074007304368006	855.076726416514	0.0002760406121821549	0.000584887409173734
ti|198214|org|Shigella_flexneri_2a_str._301|accession|NC_004337.2	0.0011436031456640077	0.0006439385418306975	1374.0	0.0006439385418306975	0.0	0.0001996610417425099	0.00011982191046239462	255.66928251767175	3.702412285635015e-05	0.00044382081449321006
ti|538381|org|Stappia_indica|accession|NZ_MBQE01000017.1	0.0009385187052846986	0.0009223224529278114	1968.0	0.0009223224529278114	0.0	0.0010881959109421031	0.0011222839603376377	2394.6666666666724	0.0010671383258722695	0.00022729999475101044
ti|76775|org|Malassezia_restricta|accession|NC_040196.1	0.0008405615040406533	0.0014551886261894586	3105.0	0.0014551886261894586	0.0	0.0002595334613759868	0.00047491541541664267	1013.3479181527688	0.0002905690654548999	0.0007995335897839666
ti|267747|org|Cutibacterium_acnes_KPA171202|accession|NC_006085.1	0.0007143931988285814	0.0003618053524696496	772.0	0.0003618053524696496	0.0	0.00052059558233491	0.00028637886264433775	611.0591798941798	0.00025776288064547574	8.576474028749466e-05
