Total Number of Aligned Reads:	246988	Total Number of Mapped Genomes:	8466
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1969841|org|Proteus_phage_VB_PmiS-Isfahan|accession|NC_041925.1	0.6909673203012807	0.7121520073849742	175893.0	0.7121520073849742	0.0	0.6909673203012807	0.7121108300489272	175882.82969212442	0.7120710317910182	7.692681425818258e-05
ti|365659|org|Streptococcus_mitis_B6|accession|NC_013853.1	0.11180360624924894	0.07125852268126387	17600.0	0.07125852268126387	0.0	0.04513707842053655	0.033157763301782585	8189.569642380677	0.025126726804541113	0.0366536026041751
ti|546270|org|Gemella_haemolysans_ATCC_10379|accession|NZ_ACDZ02000008.1	0.022397348464294062	0.014235509417461578	3516.0	0.014235509417461578	0.0	0.004582745476292566	0.0029583756538578707	730.6832859950478	0.00011336583153837434	0.013583655886115925
ti|319795|org|Deinococcus_geothermalis_DSM_11300|accession|NC_008025.1	0.019456794666953204	0.009615851782272823	2375.0	0.009615851782272823	0.0	0.010304434057522823	0.005375259340038766	1327.6245538774947	0.007158242505708779	0.0021458532398335142
ti|171101|org|Streptococcus_pneumoniae_R6|accession|NC_003098.1	0.016890593150573546	0.009870924903234166	2438.0	0.009870924903234166	0.0	0.028286348283851976	0.018672132169850298	4611.792580366985	0.010453949179717233	0.037738675563185255
ti|1197720|org|Microbacterium_barkeri_2011-R4|accession|NZ_AKVP01000090.1	0.01556057522251232	0.02053945940693475	5073.0	0.02053945940693475	0.0	0.012818384708309667	0.01740705351407086	4299.333333333334	0.017940142840947738	0.0008178534989554149
ti|1161202|org|Porphyrobacter_colymbi|accession|NZ_MUYK01000052.1	0.013529306130501807	0.012814387743534099	3165.0	0.012814387743534099	0.0	0.013529306130501807	0.012814387743534099	3165.0	0.012814387743534099	0.0
ti|1101373|org|Tepidimonas_fonticaldi|accession|NZ_LZDH01000016.1	0.010956244581973367	0.0065590231104345155	1620.0	0.0065590231104345155	0.0	0.006947546339626102	0.004421926079387774	1092.1626784958275	0.003587218812249988	0.0026762433802451943
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000013.1	0.009267567838344775	0.008623900756312048	2130.0	0.008623900756312048	0.0	0.005877562915540712	0.005702643881725456	1408.484607059607	0.00803682770013118	0.0002186341036811505
ti|398843|org|Rhodococcus_kyotonensis|accession|NZ_LVHI01000035.1	0.008932536905108156	0.007911315529499408	1954.0	0.007911315529499408	0.0	0.004500927430897346	0.004110860986498676	1015.3333333333351	0.007166340065104378	0.0006923413283236433
ti|1234409|org|Catellicoccus_marimammalium_M35/04/3|accession|NZ_AMYT01000014.1	0.006494984523544893	0.008053022818922376	1989.0	0.008053022818922376	0.0	0.006061050848100318	0.00746257577965996	1843.1666666666542	0.007696730205516058	0.0007004388877192414
ti|494023|org|Paeniglutamicibacter_antarcticus|accession|NZ_CZJT01000051.1	0.005788989868498217	0.018211411080700277	4498.0	0.018211411080700277	0.0	0.002830240644608749	0.009284786922364442	2293.2309523809486	0.008138047192576157	0.0067371694171376745
ti|399739|org|Pseudomonas_mendocina_ymp|accession|NC_009439.1	0.005760067091437928	0.0038139504753267367	942.0	0.0038139504753267367	0.0	0.001969117047214096	0.001705739150655375	421.29710134206977	0.0012308290281309213	0.0021579995789269115
ti|198214|org|Shigella_flexneri_2a_str._301|accession|NC_004337.2	0.004755311062248402	0.002732926296014381	675.0	0.002732926296014381	0.0	0.0008252388005406538	0.0005145617032636488	127.09056596568209	0.00020243898488995417	0.001801706965520592
ti|267747|org|Cutibacterium_acnes_KPA171202|accession|NC_006085.1	0.004098084069539155	0.0022794629698608838	563.0	0.0022794629698608838	0.0	0.002961161859887538	0.0017880523967970785	441.6274853801168	0.0015830728618394416	0.0006113657343676616
ti|538381|org|Stappia_indica|accession|NZ_MBQE01000017.1	0.003992459509891847	0.003963755324145303	979.0	0.003963755324145303	0.0	0.005043985728694925	0.005058950232399947	1249.4999999999982	0.004939511231314882	0.0009028778726091956
ti|398843|org|Rhodococcus_kyotonensis|accession|NZ_LVHI01000036.1	0.0029308895631463324	0.004401023531507604	1087.0	0.004401023531507604	0.0	0.0039927285578365964	0.0057796330186081915	1427.5	0.006218925615819392	0.0
ti|1304|org|Streptococcus_salivarius|accession|NZ_CP009913.1	0.002897904853673537	0.0024454629374706465	604.0	0.002441414157772847	4.048779697799084e-06	0.002183041840383406	0.001111162152059192	274.4437176127957	0.00016599996760976242	0.007178486404197775
ti|1177179|org|Alcanivorax_hongdengensis_A-11-3|accession|NZ_AMRJ01000061.1	0.002818235935763787	0.0061824865985392	1527.0	0.0061824865985392	0.0	0.00275868372710449	0.007529910842015115	1859.797619047629	0.006818145011093657	0.00627155975189078
ti|307486|org|Tepidimonas_taiwanensis|accession|NZ_JTKY01000052.1	0.0026051328917932005	0.0014818533693944644	366.0	0.0014818533693944644	0.0	0.0015287596938801144	0.0008830384942999083	218.09991163014575	0.0	0.003295706674008454
ti|169292|org|Corynebacterium_aurimucosum|accession|NZ_JVXO01000036.1	0.002189024131728173	0.001607365540026236	397.0	0.001607365540026236	0.0	0.0008406299146844611	0.0006132166107043428	151.4571442446442	0.0002469755615657441	0.0011984387905485286
ti|964|org|Herbaspirillum_seropedicae|accession|NZ_CP011930.1	0.001299652490538074	0.0008219022786532139	203.0	0.0008219022786532139	0.0	0.00042620227569291233	0.0002690927028748488	66.46266849765315	0.00016599996760976242	0.0005222925810160818
ti|1510458|org|Pseudoruegeria_sabulilitoris|accession|NZ_LOAS01000141.1	0.0012966637333036663	0.003056828671838308	755.0	0.003056828671838308	0.0	0.0012000088904136907	0.0026054745671083546	643.5209523809583	0.0024171214795860527	0.0006235120734610589
