cell_type,MK-10,MK-12,MK-13,MK-14,MK-16,MK-17,MK-18,MK-19,MK-20,MK-22,MK-23,MK-24,MK-26,MK-27,MK-29,MK-3,MK-30,MK-31,MK-32,MK-33,MK-34,MK-35,MK-36,MK-37,MK-39,MK-4,MK-40,MK-42,MK-43,MK-45,MK-46,MK-47,MK-5,MK-50,MK-51,MK-52,MK-53,MK-54,MK-6,MK-7,MK-8,MK-9,MK-A,MK-B-0002,MK-B-0003,MK-B-0004,MK-B-0005,MK-B-0007,MK-B-0008,MK-B-0012,MK-B-0019,MK-B-0021,MK-B-0022,MK-B-0024,MK-B-013,MK-B-014,MK-B-016,MK-B-018,MK-B6A,MK-B6C,MK-EOG-001,MK-EOG-004,MK-EOG-005,MK-EOG-009,MK-EOG-012,MK-EOG-015
B cell_TIMER,0.0951911025378564,0.0867964649115528,0.0856562993583272,0.0996953804411,0.0998082029313355,0.184078834278259,0.0940445718955688,0.0926275384036149,0.085707515228451,0.0748909186642496,0.175323746083241,0.0871725836193234,0.0903870403744927,0.0927880523996974,0.0847776372243433,0.0911347120578773,0.0784509947237212,0.0840872487151937,0.0932317381673757,0.0861684609291225,0.136860678041884,0.0789243421386878,0.0971265083015652,0.0906962304939308,0.0813091188943749,0.149661181532715,0.122510290024621,0.0848955618276215,0.0929482636637638,0.105238627496988,0.101460137277779,0.100090574360451,0.0888028687253253,0.0986511228981176,0.113108235434945,0.0883214187479913,0.0887901240209844,0.109649565085697,0.104635181555172,0.0928871226267494,0.117165502237057,0.0779906164309854,0.0948564072287795,0.0988784245757901,0.0857756733621727,0.0851942916004605,0.0961864794762415,0.0938757161465114,0.0680156438675422,0.0875596785523566,0.11234622183893,0.0835965225556122,0.129177541822504,0.139599917956598,0.107647544114923,0.0991785004987343,0.110835633437916,0.0976618624108312,0.128708230627755,0.0924079193548789,0.106362989971535,0.0964565319470612,0.162038696597959,0.0712193569415302,0.0935143935794827,0.087707325012076
T cell CD4+_TIMER,0.100908342465944,0.10000164215324,0.100638716373476,0.147217106491965,0.155893117995195,0.18671841173194,0.0995940692006883,0.0871283855321491,0.100148243866643,0.107702395606446,0.133295169641588,0.101503514108368,0.0959245982825214,0.0958944629665607,0.105689325685357,0.0933459258518997,0.107111852330605,0.0855789574691794,0.0947342060554193,0.08576475266168,0.130652256919228,0.106361116843908,0.122117996759523,0.128001499474306,0.107601470017858,0.137090490257211,0.131172514460737,0.0937051662359464,0.119794746911559,0.195696940185677,0.121698066131716,0.154243900021228,0.104141005949137,0.0960102869356146,0.136942894235775,0.0976768663977854,0.102471768739984,0.115054418515711,0.127787066136985,0.098900218304934,0.143600616611591,0.124829332206467,0.106501885837782,0.0959031912156581,0.101056835473194,0.0998512366327089,0.106309707827244,0.104326305558614,0.123115978845488,0.0995209725000931,0.125591898875758,0.105027107551986,0.114550470492746,0.108006710421705,0.089248695666827,0.0987256091445108,0.129727603769835,0.102374651926416,0.178686015327416,0.0885786720970816,0.0972639208807626,0.0960356999709034,0.202993994875644,0.12698424887063,0.0999110651399781,0.0962749644238151
T cell CD8+_TIMER,0.208862440481871,0.189352150545613,0.187807857550464,0.213824660403781,0.23108258009759,0.312778964360553,0.214158821404797,0.195752646165155,0.190474230239599,0.198053634764349,0.286494531303043,0.188933808280004,0.19012798207602,0.197036392510292,0.186370435494041,0.193015343471758,0.192722659409737,0.186031604508198,0.192841912125293,0.182945328719957,0.420552413792152,0.194640100898848,0.176286025773463,0.195930647267053,0.191695394087211,0.219435106186065,0.220983420849021,0.189545877155619,0.201781755688326,0.212205108192813,0.19117141253153,0.188318069696282,0.182650056097025,0.196720860960225,0.201894818158452,0.188417376349391,0.219226166071509,0.202776305551098,0.224390743080394,0.197303899481824,0.271196803514866,0.179245314401895,0.20884401935251,0.194149510690964,0.190729381555466,0.197477877004087,0.199568856156877,0.206145112871558,0.194260178493772,0.190078976201458,0.305850936771652,0.191495000120452,0.226248354335784,0.215752608350406,0.221408144530014,0.234927879302836,0.211761077610604,0.205211928905051,0.301260315590935,0.187393502951413,0.200787573083785,0.194695241799952,0.366923424233107,0.174371251574945,0.205173818087166,0.19901109549477
Neutrophil_TIMER,0.120673593761671,0.110131047416131,0.114815458720971,0.153662236216023,0.181319357384234,0.157229456084278,0.115501871119327,0.111781435947198,0.115696094205416,0.119656302632214,0.137615417958469,0.113495853503507,0.116648441286421,0.11666736348081,0.118854584459348,0.116660421297159,0.115845590169811,0.107180445686392,0.111945428768776,0.104141029508823,0.132611801584928,0.119934733037683,0.150478875425378,0.140699028977306,0.1162067152339,0.13423125536024,0.17182680727809,0.121206830413388,0.130626428975012,0.144235642826646,0.142660078139739,0.136671796826043,0.135243478831338,0.116410161711179,0.116406595451768,0.109326606086906,0.11560719462552,0.129710151200049,0.148011082006009,0.113813472615866,0.126569233863608,0.116414999182267,0.121677536377425,0.116357160519953,0.117368569367874,0.117541427277377,0.11854222498074,0.135150983175665,0.114078352978941,0.114699558256298,0.186772803067624,0.114530247556196,0.137827607224526,0.131619342780514,0.156209837863465,0.123020168428316,0.141566614948502,0.119196758215624,0.157931611172132,0.10583697445427,0.117419015447019,0.118220468990014,0.170617251404332,0.109538531900828,0.119886133131068,0.111541505764528
Macrophage_TIMER,0.0365976694009566,0.0535573371651621,0.0608607185204684,0.040676033749296,0.0175622946080735,0.0309558509878529,0.0564957372580064,0.0461756428441761,0.0502531108884276,0.104973285900282,0,0.0542889294433125,0.0485523161978508,0.0678402782907375,0.067865117547011,0.0679614627345978,0.0700612451519654,0.0398140449190033,0.0590206086351788,0.0237532173608868,0.106539832554366,0.0820016755633221,0.0103550397787081,0.0315468674897147,0.0881478959473055,0.0428429743011475,0.0146283987101742,0.0318933124259346,0.0284380299543034,0.0389191518546458,0.0287270106175366,0.0305716177024158,0.0323869522465394,0.0582787906646541,0.0572824204994373,0.0590112750998675,0.0932623779787084,0.0639503432589138,0.029103668411227,0.0474318667336193,0.0766155854792317,0.058591156925383,0.0659295215942703,0.0392777275333995,0.0505785456099273,0.0754193613821837,0.0533098568533041,0.0885022316564586,0.0928093115335716,0.0499961338601446,0.0478442527435267,0.0566401226988218,0.0514819239119842,0.0470280580831951,0.0637998006418142,0.136492842878045,0.0276498566886957,0.0634929981587903,0.0870679712747933,0.0272785392070468,0.0632402827314745,0.0588638873359198,0.0465407961301872,0.0558759080728344,0.0337138720770094,0.0631178122725835
Myeloid dendritic cell_TIMER,0.511832214659713,0.454797840698201,0.450717370681003,0.544412804856818,0.55684990891368,0.638973060132655,0.467440080256735,0.452537912914019,0.453018882828098,0.466917309831974,0.767267772323045,0.450686339022567,0.455936475155212,0.462663159001127,0.454843768789101,0.457560541643483,0.461191586444175,0.445717313278875,0.46614350687983,0.43777168143348,0.662335364414181,0.458431188022937,0.506526497888596,0.491777727960695,0.449802799237506,0.521309490413022,0.568138988498408,0.476235230135358,0.488509419263867,0.534285099773188,0.499863311492982,0.516569276105111,0.485549353161337,0.46240751813781,0.49233592248895,0.452699696195768,0.465328782541373,0.50129252164465,0.560574208346332,0.464568141838931,0.583913720654896,0.485109414728701,0.502248069332578,0.465625450596484,0.457024759859418,0.445161742880653,0.484383573996446,0.486181761571891,0.455912838470223,0.453117849708758,0.637042791529438,0.452756604355699,0.524203360977593,0.505512626848944,0.510701405689808,0.486534409815511,0.543709195040572,0.488273302112831,0.568572689072522,0.442968768020637,0.463374300299761,0.452637349755681,0.64627507290764,0.449426618040771,0.492211006968374,0.449314552079588
B cell naive_CIBERSORT,0,0,0,0.00148773555182178,0.0213060242732499,0.0476590441398704,0.00327313720788029,0.152188583903267,0,0,0.011698045565822,0,0,0,0,0,0.00364511107635682,0,0,0,0.00863431078512736,0.132008979220834,0,0,0,0,0.00457703697696821,0,0,0.00356182014857037,0,0,0.00271978385863605,0,0.000437558020163101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107309871388177,0,0,0.0100170913341257,0.0103674580562651,0,0,0,0.0233182472899539,0,0,0,0.0097183696985832,0.00951074994540621,0.00568876801458266,0
B cell memory_CIBERSORT,0,0,0.0191637389994043,0,0,0,0,0,0,0.00867813316536956,0,0.0413716653002714,0.0242991650867061,0.00762917923918609,0.0875727767605675,0.0478295076443469,0,0,0,0.230563173818495,0,0,0.0243866681530314,0,0,0.0175346100253907,0,0,0.0651529494317057,0,0.0719048389528689,0,0,0.0494505455373997,0.0878562944402459,0,0,0,0,0,0.0212569466627992,0,0.0122468096461649,0.0503163970040808,0.0379200875218975,0.00586904794301112,0.00835273784574932,0,0.00664014791410983,0,0,0,0,0,0,0,0.109469828041872,0,0,0,0.0680867624971913,0.0193074108904512,0.0317287555541797,0,0,0
B cell plasma_CIBERSORT,0.00749188100551915,0.0490609716667413,0.033353131063626,0.0050410907336317,0.0925788940131872,0.0799458610951551,0.0217693075117313,0.257957399881816,0.0878335101985424,0.0269799402706805,0.0126056300882786,0.0429930472273804,0.0152354358233236,0.00221397856974187,0.0346777949322306,0.0202435765616957,0.00636345266961237,0.00336685505151568,0.00736193586591708,0.0881044639523358,0.00620022175805843,0.127586867312236,0.0137443177942715,0.00804195068924825,0.00214854780178413,0.393415700626623,0.0805373707667494,0.031527731768041,0.0235599610274152,0.0421523025766399,0.146240734598786,0.212089706162153,0.28311080166581,0.246797339934521,0.0219599521837396,0.0276741081904062,0.0382425994127307,0.332562977948525,0.00785387838626101,0.00937086116095113,0.0161256353344517,0.0197336634358615,0.0430937304898567,0.0175428842095878,0.00515556049237547,0.0924133218163446,0.0121063551808145,0.240692349710866,0.0149159493146171,0.0444505509597958,0.0413010392840192,0.0269468490274596,0.330758321343289,0.358493408882203,0.172887180619054,0.0845246793356582,0.12530430195037,0.00846598041061325,0.156820077458599,0.624134104358507,0.0500860155449135,0.0603527761818136,0.0605200747684998,0.00809320164626971,0.0118257646717203,0.0575034650649023
T cell CD8+_CIBERSORT,0.0499850907092341,0.0179374648113223,0,0.0602353860097443,0.099301781187339,0.124023831220139,0.130599886560769,0.0312313023314037,0.0677057285390362,0,0.0922821200767708,0,0,0,0,0,0,0.0217697553352984,0.0159326595493295,0.0827446061261655,0.271341923917196,0.0529948354136292,0.0185414917027783,0.00194644653015529,0.0497333186317938,0.0555902971012615,0.0238094659100539,0,0.166530791075659,0.0877650908041553,0.0926454848954429,0.00142200397452743,0.0318599285533889,0.0200327653329488,0.114889583864475,0.119979750832753,0.0429337543960172,0.0344564651813334,0.0721061929774286,0,0.0977965698213935,0.0130082851523392,0.0183628433316821,0.0596036776996613,0,0.0355037367704412,0.0440013674379293,0.0373442112959209,0.135283493497952,0.0600352928045967,0.148148620874871,0.127064802946921,0.0308242085079354,0,0,0.0874767853858418,0.0219318357742015,0.0295590537356862,0.111947496545226,0.0678139198555815,0.17949269076116,0.0804928982357569,0.106143315372574,0.0369276960588409,0.0897551533053467,0.114118769437352
