term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
DST,30.76923076923077,0.004065474431658365,0.7468857313018081,-2.5175577076798916,13.85972120689629,"['Streptomyces', 'Agrobacterium']",2
COL18A1,15.384615384615385,0.01212965252031213,0.8582845434050761,-1.986376113286669,8.76409442490654,"['Streptomyces', 'Agrobacterium']",2
CHIA,5.128205128205129,0.032139816795135424,0.8582845434050761,-2.2829486977518316,7.8480005502877495,"['Ralstonia', 'Streptomyces', 'Agrobacterium']",3
COPA,5.9171597633136095,0.009654757920441712,0.8582845434050761,-1.6275685283174932,7.552413462479436,"['Ralstonia', 'Streptomyces', 'Bradyrhizobium', 'Agrobacterium']",4
CCNB1,10.256410256410257,0.02374049967199525,0.8582845434050761,-1.9369828525826447,7.245425454447122,"['Streptomyces', 'Agrobacterium']",2
DHFR,6.688963210702341,0.04828240668706535,0.8582845434050761,-1.7636495163471464,5.345071487945939,"['Streptomyces', 'Agrobacterium']",2
NAAA,30.76923076923077,0.004065474431658365,0.7468857313018081,-0.9636620875771087,5.305176453644429,"['Streptomyces', 'Bradyrhizobium']",2
CXCR4,4.8076923076923075,0.08253499312911904,0.8582845434050761,-2.0885159207387307,5.209871710772386,"['Gardnerella', 'Streptomyces']",2
ATM,4.8076923076923075,0.08253499312911904,0.8582845434050761,-2.0761742490818507,5.179085004580519,"['Streptomyces', 'Agrobacterium']",2
CDH1,7.6923076923076925,0.14116445617728643,0.8644642411618588,-2.6131898880414965,5.1161808069541586,['Gardnerella'],1
ABR,9.615384615384615,0.11717817699887885,0.8582845434050761,-2.2905302053236047,4.911033326797605,['Streptomyces'],1
ALAD,7.6923076923076925,0.038321427196130124,0.8582845434050761,-1.4556222906328526,4.747870303947859,"['Bradyrhizobium', 'Agrobacterium']",2
CYP3A4,6.993006993006993,0.0448698783395316,0.8582845434050761,-1.4650878805161365,4.547616035748983,"['Streptomyces', 'Agrobacterium']",2
RAD51C,15.384615384615385,0.07984310137714944,0.8582845434050761,-1.7299458935357093,4.3727700544282415,['Agrobacterium'],1
CEBPA,7.6923076923076925,0.14116445617728643,0.8644642411618588,-2.1814559709321943,4.270919316186185,['Streptomyces'],1
ASPDH,9.615384615384615,0.11717817699887885,0.8582845434050761,-1.948466283165685,4.177627883067465,['Ralstonia'],1
CTSK,7.6923076923076925,0.14116445617728643,0.8644642411618588,-2.116642381983651,4.144025345975365,['Streptomyces'],1
CTSD,15.384615384615385,0.07984310137714944,0.8582845434050761,-1.5988741551569106,4.0414610957455785,['Streptomyces'],1
CETP,5.9171597633136095,0.17584394525101824,0.8938154687462824,-2.263984301430126,3.9351632222883786,['Streptomyces'],1
