term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
IL1B,5.260081823495032,0.00030514899356818935,0.00884383277794821,-7.637202758388319,61.82094457334329,"['Campylobacter', 'Shewanella', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",9
CD5,9.852216748768473,1.4565601557815924e-05,0.0026453868023182925,-1.92011980040518,21.384082103152366,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",8
HLA-B,10.775862068965518,0.00036951833245620546,0.009697970929360821,-2.670712008392439,21.107465469426526,"['Aggregatibacter', 'Streptococcus', 'Leptotrichia', 'Haemophilus', 'Porphyromonas']",5
DPP4,9.074410163339383,0.000710131128673602,0.013836797446579577,-2.891157287008497,20.96106645059877,"['Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Porphyromonas']",5
CD40,5.945303210463734,6.49718076238188e-05,0.0064272111234023824,-2.0810859809230866,20.06490933801413,"['Riemerella', 'Veillonella', 'Campylobacter', 'Aggregatibacter', 'Peptostreptococcus', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",10
IL2,5.945303210463734,0.003532532834022618,0.03291911032284846,-3.4904960315228326,19.70643358372779,"['Aggregatibacter', 'Streptococcus', 'Prevotella', 'Porphyromonas', 'Neisseria']",5
HP,7.13436385255648,0.0006635296950614598,0.01382923000013411,-2.529340570684811,18.50955482138439,"['Fusobacterium', 'Streptococcus', 'Bibersteinia', 'Mannheimia', 'Haemophilus', 'Neisseria']",6
HMGB1,6.896551724137931,0.0003058145864220796,0.00884383277794821,-2.246771911637629,18.18207261739448,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas']",7
GP2,5.44464609800363,0.0022277572142105303,0.025794727317965272,-2.7843999601186002,17.003662114281415,"['Campylobacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas']",6
CD86,5.2246603970741905,0.0001637276884639682,0.00859580713538423,-1.9357780356459164,16.874769381022347,"['Veillonella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",10
CTSC,14.77832512315271,0.002753293340187055,0.02805338397375089,-2.7909505999676245,16.452535186978373,"['Streptococcus', 'Porphyromonas', 'Fusobacterium']",3
CD274,9.195402298850574,0.002266566241780774,0.025794727317965272,-2.6535463490788893,16.158741997731557,"['Streptococcus', 'Neisseria', 'Porphyromonas', 'Fusobacterium']",4
IL17C,5.747126436781609,0.1864131236142142,0.4042618498615168,-9.570516685357445,16.076457969788503,['Haemophilus'],1
CCR5,6.085192697768763,0.0013583786139088002,0.019409721083185744,-2.272097744409489,14.99917029661497,"['Campylobacter', 'Aggregatibacter', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",6
IL5,8.620689655172415,0.009272083059353729,0.06178185914160049,-3.1047375727594413,14.53249174669203,"['Prevotella', 'Porphyromonas', 'Neisseria']",3
DNMT3A,14.77832512315271,0.002753293340187055,0.02805338397375089,-2.460343836327912,14.503622364265384,"['Haemophilus', 'Porphyromonas', 'Fusobacterium']",3
TREM1,8.620689655172415,0.00028069424101438673,0.00884383277794821,-1.6264934631417627,13.301861367758699,"['Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas']",6
CD63,8.620689655172415,0.00028069424101438673,0.00884383277794821,-1.6134021693555163,13.19479756515793,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Haemophilus', 'Neisseria']",6
TREM2,9.852216748768473,0.00183639796515358,0.02315301748223043,-2.058902485976037,12.970981179868142,"['Streptococcus', 'Campylobacter', 'Haemophilus', 'Porphyromonas']",4
MIF,9.283819628647215,6.367314367702152e-05,0.0064272111234023824,-1.33315753599407,12.880631744614401,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",7
TRPS1,19.704433497536947,0.00023780342075445406,0.00884383277794821,-1.5347739048985651,12.806255047324248,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter', 'Fusobacterium']",4
C3,5.747126436781609,0.001752947625128533,0.02300296577464585,-1.9949240284607144,12.660698668711307,"['Campylobacter', 'Shewanella', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",6
FASLG,8.210180623973727,0.0010398806007363686,0.01807143854793203,-1.7779740544925589,12.212280385986627,"['Campylobacter', 'Aggregatibacter', 'Streptococcus', 'Haemophilus', 'Porphyromonas']",5
KCNK1,22.988505747126435,0.0001553692923126115,0.00859580713538423,-1.3174345915672414,11.553513704646537,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter', 'Fusobacterium']",4
CD163,6.385696040868455,0.002699834320640583,0.02805338397375089,-1.8938990783547036,11.2015889572612,"['Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas']",5
CD70,17.24137931034483,0.0003474483343896553,0.009697970929360821,-1.3963443548174748,11.121735586331758,"['Porphyromonas', 'Haemophilus', 'Aggregatibacter', 'Fusobacterium']",4
CEACAM1,14.77832512315271,0.002753293340187055,0.02805338397375089,-1.8532784526473398,10.924997724360614,"['Streptococcus', 'Haemophilus', 'Neisseria']",3
